"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","80.0","341.0","2.1","50.4","377.0","2.5","0.3","144.2"
"","low","41.2","171.2","1.5","49.2","362.0","2.0","2.0","127.6"
"Ronald Jones II","TB","164.9","740.5","5.7","16.0","113.8","0.3","1.4","134.4"
"","high","176.5","791.8","6.1","18.0","142.0","0.7","0.8","140.5"
"","low","156.2","674.0","5.0","14.0","96.4","0.0","2.0","132.0"
"Devin Singletary","BUF","120.7","536.4","2.9","30.7","215.9","1.2","1.3","128.4"
"","high","138.0","637.0","3.5","37.0","256.0","1.6","0.6","144.0"
"","low","108.4","475.3","2.3","23.0","159.0","1.0","2.0","124.0"
"Latavius Murray","NO","138.0","584.5","4.0","24.8","177.6","1.0","1.2","128.0"
"","high","166.0","667.0","5.0","29.0","196.3","1.0","0.5","143.7"
"","low","117.7","494.6","2.8","17.8","136.9","0.8","2.0","117.0"
"Tony Pollard","DAL","110.7","494.9","3.2","30.6","225.1","1.3","1.2","127.2"
"","high","132.0","582.0","4.0","41.7","333.4","2.0","0.3","137.8"
"","low","93.7","405.8","2.7","24.8","170.0","1.0","2.0","114.4"
"Phillip Lindsay","HOU","142.8","628.4","3.7","25.3","163.9","0.4","1.2","126.9"
"","high","152.0","676.0","4.2","33.0","193.0","0.9","0.3","136.2"
"","low","127.0","545.0","3.0","20.8","135.0","0.0","2.0","111.9"
"Gus Edwards","BAL","152.1","738.8","5.1","10.7","91.4","0.3","1.3","123.5"
"","high","169.0","876.0","6.4","13.2","96.4","0.8","0.7","131.8"
"","low","140.9","659.1","4.0","8.0","87.0","0.0","2.0","117.2"
"AJ Dillon","GB","141.8","646.4","4.8","15.2","116.9","0.5","1.4","120.7"
"","high","160.0","727.0","5.7","26.4","205.1","1.2","0.8","134.1"
"","low","110.0","551.0","4.0","1.0","10.0","0.0","2.0","105.9"
"Tarik Cohen","CHI","49.5","202.7","1.1","43.5","294.3","1.4","1.2","105.9"
"","high","92.0","345.0","2.0","65.0","394.0","2.0","0.3","141.4"
"","low","20.9","90.9","0.6","32.6","235.9","1.0","2.0","88.1"
"Malcolm Brown","MIA","122.0","484.1","4.7","17.1","114.5","0.4","0.8","105.9"
"","high","135.1","571.0","5.0","22.4","158.4","0.9","0.5","119.9"
"","low","113.7","438.0","3.9","10.0","71.0","0.0","1.0","99.7"
"Tevin Coleman","NYJ","131.9","510.7","3.6","17.6","133.9","0.3","1.2","103.4"
"","high","172.0","557.0","4.0","21.0","159.0","0.7","0.4","113.2"
"","low","103.9","434.6","3.1","13.1","94.4","0.0","2.0","97.1"
"Giovani Bernard","TB","55.6","201.5","1.4","35.8","272.0","1.7","0.6","100.5"
"","high","105.0","334.0","3.0","43.7","325.4","3.0","0.3","137.6"
"","low","29.0","119.0","0.0","18.5","122.8","0.9","1.0","85.3"
"Alexander Mattison","MIN","115.5","519.5","2.7","16.2","132.8","0.6","0.7","100.3"
"","high","128.9","572.0","3.5","18.0","137.0","1.0","0.4","109.8"
"","low","103.3","459.5","2.0","14.0","128.8","0.0","1.0","90.5"
"Damien Williams","CHI","74.7","314.2","3.0","20.7","148.0","1.3","0.6","91.2"
"","high","101.0","402.0","5.0","25.0","187.9","2.0","0.3","118.1"
"","low","45.8","202.2","1.8","17.0","119.0","0.8","1.0","69.2"
"Darrel Williams","KC","79.3","331.9","3.2","20.2","149.1","0.7","0.6","91.0"
"","high","110.0","451.0","6.0","27.0","185.0","1.1","0.3","112.9"
"","low","65.0","275.0","2.0","14.0","116.0","0.0","1.0","79.3"
"Darrynton Evans","TEN","75.3","336.1","2.5","18.2","152.3","1.3","1.2","87.5"
"","high","120.0","573.0","4.0","25.4","235.0","3.0","0.4","141.0"
"","low","31.0","135.0","1.0","10.0","82.0","0.0","2.0","45.9"
"Xavier Jones","LAR","96.4","397.7","3.4","14.0","112.2","0.6","1.2","87.1"
"","high","125.0","514.0","5.0","19.0","167.0","1.0","0.4","118.1"
"","low","76.7","319.2","2.2","5.0","32.0","0.0","2.0","74.2"
"Rashaad Penny","SEA","86.7","404.7","3.0","13.8","108.3","0.7","0.7","85.6"
"","high","99.0","506.0","4.0","15.4","117.3","1.0","0.3","105.2"
"","low","67.2","297.4","2.2","11.0","97.0","0.0","1.0","73.8"
"Justin Jackson","LAC","92.3","422.1","1.9","17.3","122.4","0.4","0.6","84.1"
"","high","119.0","578.0","2.4","25.0","170.0","0.8","0.2","104.1"
"","low","77.0","339.0","1.0","11.0","82.0","0.0","1.0","65.4"
"Boston Scott","PHI","60.4","255.5","2.0","21.6","170.8","0.7","0.7","78.5"
"","high","75.5","318.4","2.2","26.2","205.8","1.1","0.3","90.6"
"","low","51.0","222.8","1.6","16.1","130.4","0.0","1.0","69.2"
"Ty Johnson","NYJ","76.6","331.5","2.2","14.8","101.7","0.6","0.3","74.3"
"","high","87.3","383.2","2.6","23.0","159.0","1.0","0.3","79.5"
"","low","58.0","245.0","2.0","8.9","56.0","0.4","0.3","70.9"
"Sony Michel","NE","94.7","419.3","2.8","7.6","66.4","0.4","0.6","74.0"
"","high","118.0","537.0","3.5","10.0","103.0","1.0","0.3","95.6"
"","low","57.0","243.4","1.9","5.4","42.0","0.0","1.0","48.4"
"Qadree Ollison","ATL","82.1","312.7","2.9","10.4","83.4","0.6","0.7","69.7"
"","high","106.0","354.0","4.0","13.0","117.0","1.0","0.4","87.5"
"","low","56.6","238.5","1.6","9.0","62.4","0.3","1.0","51.7"
"Kyle Juszczyk","SF","13.9","52.7","0.7","21.8","230.0","2.0","0.7","64.7"
"","high","17.0","60.3","1.0","35.0","406.0","5.0","0.3","103.7"
"","low","9.5","40.3","0.3","11.8","115.1","0.7","1.0","42.5"
"Devontae Booker","NYG","77.8","329.3","2.0","11.8","78.1","0.2","0.7","64.5"
"","high","106.0","472.0","3.0","17.2","127.4","0.6","0.4","83.3"
"","low","55.4","237.3","1.5","5.0","32.9","0.0","1.0","51.1"
"Rex Burkhead","HOU","35.8","150.6","1.4","16.7","157.6","1.3","0.6","62.2"
"","high","72.0","306.0","3.0","35.0","347.0","3.0","0.1","118.0"
"","low","7.8","32.7","0.2","2.1","17.6","0.2","1.0","23.7"
"Marlon Mack","IND","73.7","315.5","2.6","8.7","62.2","0.2","0.6","61.8"
"","high","109.0","456.0","4.0","11.0","75.0","0.5","0.2","85.8"
"","low","46.3","202.3","1.8","4.0","29.8","0.0","1.0","50.4"
"Joshua Kelley","LAC","90.4","338.4","2.2","9.3","66.6","0.2","1.2","61.4"
"","high","138.0","462.0","3.0","19.0","139.0","0.3","0.4","75.5"
"","low","57.2","235.7","1.7","3.0","20.0","0.0","2.0","51.9"
"DeeJay Dallas","SEA","47.3","188.9","1.5","16.7","122.7","0.9","0.6","61.1"
"","high","97.0","372.0","3.0","32.0","244.0","2.0","0.2","108.3"
"","low","17.6","75.8","0.5","8.0","55.0","0.0","1.0","42.2"
"Cordarrelle Patterson","ATL","49.2","225.2","1.4","14.0","123.4","0.7","0.2","61.0"
"","high","62.8","286.2","1.8","15.6","139.3","0.7","0.2","71.2"
"","low","35.6","164.1","1.0","12.5","107.5","0.6","0.2","50.1"
"Chuba Hubbard","CAR","61.8","261.0","2.0","10.6","86.0","0.4","1.1","57.3"
"","high","89.0","363.0","3.0","17.0","155.0","1.0","0.3","86.4"
"","low","38.6","168.4","1.3","5.5","35.0","0.0","2.0","39.7"
"Rhamondre Stevenson","NE","61.3","266.6","2.1","9.7","73.3","0.4","1.1","56.7"
"","high","100.0","458.0","4.0","14.0","113.0","1.0","0.1","96.8"
"","low","26.4","110.3","1.0","3.9","30.6","0.0","2.0","31.5"
"Mark Ingram II","HOU","54.3","220.2","1.7","10.5","88.3","0.7","0.6","54.2"
"","high","69.0","259.0","3.0","18.0","176.0","2.0","0.2","82.8"
"","low","32.2","157.4","1.0","6.0","39.0","0.0","1.0","41.1"
"Salvon Ahmed","MIA","57.8","241.7","1.5","11.4","76.3","0.4","0.3","54.2"
"","high","69.1","295.6","2.2","18.3","129.0","0.7","0.3","70.6"
"","low","45.3","194.5","1.0","7.0","48.0","0.0","0.3","45.7"
"Wayne Gallman","SF","51.2","225.9","2.3","9.4","72.8","0.4","0.7","54.2"
"","high","113.0","522.0","6.0","21.0","167.0","1.0","0.3","120.3"
"","low","8.2","35.2","0.3","2.0","17.0","0.0","1.0","17.5"
"Trayveon Williams","CIN","48.0","205.3","1.3","14.1","113.0","0.5","1.5","53.7"
"","high","107.0","455.0","3.0","30.0","251.0","1.0","0.1","108.7"
"","low","7.9","34.5","0.2","4.7","33.8","0.2","3.0","23.1"
"Jeff Wilson Jr.","SF","52.7","229.9","2.7","5.2","47.7","0.6","1.0","51.1"
"","high","79.0","340.0","4.0","5.4","53.0","1.0","1.0","74.5"
"","low","26.4","119.7","1.5","5.0","42.3","0.3","1.0","31.2"
"Kenneth Gainwell","PHI","46.0","210.7","1.4","11.4","89.5","0.4","1.1","50.2"
"","high","109.0","533.0","4.0","19.0","131.0","1.0","0.1","106.8"
"","low","9.6","42.5","0.2","5.7","42.3","0.0","2.0","22.8"
"Jake Funk","LAR","44.4","184.8","2.1","9.4","75.4","0.3","0.2","49.3"
"","high","44.4","184.8","2.1","9.4","75.4","0.3","0.2","49.3"
"","low","44.4","184.8","2.1","9.4","75.4","0.3","0.2","49.3"
"Samaje Perine","CIN","50.8","214.7","1.5","9.1","61.6","0.2","0.1","46.5"
"","high","70.9","290.2","2.0","19.1","135.4","0.6","0.0","53.7"
"","low","27.0","130.0","1.0","1.0","8.0","0.0","0.2","34.9"
"Jalen Richard","LV","23.7","103.6","0.5","16.3","129.1","0.5","0.6","44.0"
"","high","34.0","149.0","1.0","33.0","245.0","1.0","0.2","56.5"
"","low","11.5","52.2","0.0","9.0","77.0","0.0","1.0","33.0"
"Benny Snell Jr.","PIT","60.0","222.4","1.8","6.4","43.4","0.1","0.6","43.1"
"","high","94.0","330.0","3.0","8.0","55.0","0.3","0.3","59.9"
"","low","24.2","99.3","0.7","4.0","25.0","0.0","1.0","25.5"
"Matt Breida","BUF","42.8","189.2","1.0","9.6","76.3","0.4","1.1","42.2"
"","high","92.0","413.0","2.0","24.0","189.0","1.0","0.2","87.8"
"","low","19.9","87.4","0.4","3.0","26.0","0.0","2.0","28.4"
"Mike Boone","DEN","47.0","223.6","1.5","6.4","43.4","0.1","0.6","42.0"
"","high","61.0","326.0","2.0","11.0","81.0","0.4","0.1","51.8"
"","low","32.0","143.6","0.9","2.0","8.0","0.0","1.0","30.0"
"Peyton Barber","WAS","59.2","209.5","2.2","5.0","33.0","0.1","0.6","41.9"
"","high","77.0","259.0","3.0","6.0","34.4","0.2","0.1","52.2"
"","low","41.8","151.7","1.4","4.5","31.5","0.0","1.0","32.8"
"Carlos Hyde","JAC","52.6","213.4","1.4","6.3","36.6","0.1","0.6","38.8"
"","high","90.0","366.0","3.0","12.0","57.0","0.2","0.2","66.6"
"","low","18.7","75.4","0.5","0.9","5.0","0.0","1.0","17.4"
"Javian Hawkins","ATL","50.3","206.9","1.6","4.6","35.4","0.1","0.2","38.8"
"","high","50.3","206.9","1.6","4.6","35.4","0.1","0.2","38.8"
"","low","50.3","206.9","1.6","4.6","35.4","0.1","0.2","38.8"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","1.0","0.0","38.0"
"","high","20.0","100.0","1.0","9.0","70.0","1.0","0.0","38.0"
"","low","20.0","100.0","1.0","9.0","70.0","1.0","0.0","38.0"
"Brandon Bolden","NE","19.4","98.7","2.3","4.9","48.8","0.6","0.0","37.0"
"","high","22.0","124.0","4.0","5.0","61.0","1.0","0.0","53.4"
"","low","16.9","73.4","0.6","4.8","36.6","0.2","0.0","20.8"
"Jermar Jefferson","DET","27.9","113.8","0.8","10.6","78.6","0.1","0.1","35.2"
"","high","33.0","133.0","1.0","12.0","88.0","0.3","0.1","38.7"
"","low","22.8","94.6","0.6","9.2","69.3","0.0","0.1","32.0"
"Larry Rountree III","LAC","36.8","154.6","1.4","4.6","34.9","0.2","0.2","32.7"
"","high","36.8","154.6","1.4","4.6","34.9","0.2","0.2","32.6"
"","low","36.8","154.6","1.4","4.6","34.9","0.2","0.2","32.6"
"Brian Hill","TEN","36.0","171.2","0.7","5.3","37.3","0.2","0.2","31.4"
"","high","50.2","223.2","1.3","7.8","60.9","0.4","0.0","42.9"
"","low","25.0","103.0","0.0","1.0","9.0","0.0","0.3","19.2"
"Devonta Freeman","NO","18.1","73.3","0.5","9.7","78.0","0.5","0.1","31.0"
"","high","27.7","113.3","0.9","13.0","104.9","0.7","0.1","40.8"
"","low","8.5","33.4","0.2","6.4","51.1","0.3","0.1","21.0"
"Jaylen Samuels","PIT","26.5","111.0","0.6","7.8","51.7","0.3","0.1","29.7"
"","high","37.0","155.8","0.9","10.3","70.6","0.4","0.1","33.0"
"","low","15.9","66.2","0.4","5.2","32.8","0.3","0.1","26.0"
"Kerryon Johnson","PHI","34.0","141.6","1.2","4.1","33.3","0.2","0.2","29.1"
"","high","34.0","141.6","1.2","4.1","33.3","0.2","0.2","29.1"
"","low","34.0","141.6","1.2","4.1","33.3","0.2","0.2","29.1"
"Elijah Mitchell","SF","26.8","124.1","0.8","5.7","51.5","0.2","0.1","29.0"
"","high","35.0","170.0","1.0","7.4","59.0","0.3","0.0","33.1"
