"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaret Patterson","WAS","16.7","69.5","0.6","2.2","18.1","0.1","0.1","14.7"
"Royce Freeman","DEN","14.3","59.9","0.4","3.2","20.0","0.1","0.0","14.0"
"Gary Brightwell","NYG","20.0","88.0","0.0","3.0","22.0","0.0","0.0","14.0"
"Ke'Shawn Vaughn","TB","15.0","63.6","0.5","2.3","16.5","0.1","0.0","13.9"
"D'Ernest Johnson","CLE","18.2","77.9","0.4","2.3","16.9","0.0","0.1","13.8"
"JaMycal Hasty","SF","14.5","75.3","0.4","1.9","12.9","0.0","0.0","13.4"
"Eno Benjamin","ARI","16.4","70.7","0.3","2.3","18.6","0.0","0.0","13.3"
"Jordan Wilkins","IND","14.6","71.2","0.4","1.7","12.6","0.1","0.0","13.2"
"Jordan Howard","PHI","17.6","68.6","0.7","1.0","7.7","0.0","0.0","12.6"
"D'Onta Foreman","ATL","16.8","70.6","0.4","1.4","10.0","0.0","0.0","12.1"
"Kene Nwangwu","MIN","16.3","65.8","0.2","2.4","17.8","0.0","0.0","12.0"
"Khalil Herbert","CHI","9.7","40.3","0.3","2.8","22.0","0.1","0.1","11.1"
"Andrew Beck","DEN","4.9","21.2","0.2","4.1","28.1","0.2","0.0","11.1"
"Alex Armah","NO","4.2","17.4","0.2","4.0","33.2","0.2","0.1","11.0"
"Ty Montgomery","NO","14.5","51.0","0.0","3.4","23.9","0.0","0.0","10.9"
"Alex Collins","SEA","12.5","52.6","0.5","1.4","10.7","0.1","0.2","10.8"
"Buddy Howell","HOU","4.0","17.3","0.2","4.1","28.8","0.2","0.0","10.6"
"Tony Brooks-James","PIT","15.5","65.4","0.4","0.9","6.3","0.0","0.0","10.2"
"Nick Bellore","SEA","1.5","6.7","0.0","4.4","31.5","0.3","0.0","10.2"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.0","0.2","0.1","8.9"
"Keith Smith","ATL","3.2","13.7","0.1","3.4","26.1","0.2","0.1","8.9"
"Andy Janovich","CLE","1.0","4.3","0.0","3.9","32.6","0.2","0.0","8.7"
"Alfred Morris","NYG","9.1","37.8","0.3","1.5","10.4","0.0","0.1","8.0"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.7","0.2","0.0","7.6"
"Trenton Cannon","CAR","4.1","17.0","0.1","2.5","19.2","0.1","0.0","7.2"
"Kalen Ballage","PIT","7.0","27.8","0.2","1.8","11.7","0.0","0.1","7.0"
"Darwin Thompson","KC","6.6","26.1","0.1","1.8","13.8","0.0","0.0","6.6"
"J.J. Taylor","NE","2.8","12.1","0.1","2.3","17.8","0.1","0.0","6.2"
"Derek Watt","PIT","4.3","18.1","0.2","1.7","12.2","0.1","0.0","6.1"
"Michael Burton","KC","3.3","14.0","0.1","1.8","14.8","0.1","0.0","5.8"
"Antonio Williams","BUF","9.0","37.4","0.2","0.3","2.8","0.0","0.0","5.3"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.4","0.1","0.0","5.0"
"Josh Adams","NYJ","5.2","22.5","0.2","0.9","6.0","0.0","0.0","4.7"
"Devine Ozigbo","JAC","2.9","12.3","0.1","1.5","11.6","0.0","0.0","4.5"
"Jakob Johnson","NE","0.0","0.0","0.0","2.2","18.9","0.1","0.0","4.5"
"Dwayne Washington","NO","2.6","10.9","0.1","1.5","11.6","0.0","0.0","4.3"
"Elijhaa Penny","NYG","2.5","10.3","0.1","1.5","10.9","0.0","0.0","4.2"
"Corey Clement","NYG","4.2","17.7","0.2","0.5","3.6","0.0","0.0","3.6"
"Dare Ogunbowale","JAC","2.1","8.9","0.0","1.4","9.4","0.0","0.0","3.2"
"Jonathan Williams","WAS","2.3","9.8","0.0","0.9","7.0","0.0","0.0","2.5"
"Dexter Williams","GB","3.2","13.6","0.1","0.4","3.1","0.0","0.0","2.4"
"Dontrell Hilliard","HOU","1.7","7.1","0.0","0.9","6.4","0.0","0.0","2.2"
"Patrick Laird","MIA","1.5","6.4","0.0","0.9","5.5","0.0","0.0","2.1"
