"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Christian Blake","ATL","12.5","146.4","0.5","0.0","0.0","0.0","0.1","30.0"
"Andy Isabella","ARI","11.0","136.6","0.7","0.0","0.0","0.0","0.0","28.9"
"Ray-Ray McCloud","PIT","11.3","113.2","0.7","3.0","19.2","0.1","0.2","28.6"
"Lynn Bowden Jr.","MIA","10.8","98.8","0.2","10.2","49.3","0.2","0.1","28.2"
"Chris Moore","HOU","10.5","120.8","0.7","0.0","0.0","0.0","0.0","26.8"
"Cedrick Wilson","DAL","9.7","126.8","0.7","0.0","0.0","0.0","0.1","26.3"
"Miles Boykin","BAL","9.1","123.5","0.7","0.8","4.9","0.0","0.1","26.2"
"Javon Wims","CHI","9.6","122.4","0.5","0.0","0.0","0.0","0.1","24.8"
"Jeff Smith","NYJ","9.6","107.1","0.6","0.0","0.0","0.0","0.0","24.0"
"Noah Brown","DAL","8.6","106.1","0.6","0.0","0.0","0.0","0.1","22.9"
"Tyler Johnson","TB","8.0","102.3","0.8","0.0","0.0","0.0","0.0","22.7"
"Jamal Agnew","JAC","6.8","75.4","0.4","6.2","34.0","0.2","0.1","21.4"
"Chad Beebe","MIN","7.9","96.1","0.7","0.0","0.0","0.0","0.1","21.2"
"Andre Roberts","HOU","7.8","101.5","0.5","0.0","0.0","0.0","0.0","21.0"
"Cameron Batson","TEN","7.2","80.0","0.6","2.5","14.9","0.1","0.1","20.7"
"Cam Sims","WAS","7.6","102.8","0.5","0.0","0.0","0.0","0.0","20.7"
"KeeSean Johnson","ARI","7.7","88.8","0.7","0.0","0.0","0.0","0.0","20.5"
"Mike Thomas","CIN","7.5","93.7","0.6","0.0","0.0","0.0","0.1","20.2"
"Alex Erickson","HOU","7.9","92.6","0.4","0.0","0.0","0.0","0.1","19.7"
"Frank Darby","ATL","7.3","92.4","0.5","0.0","0.0","0.0","0.0","19.2"
"Kalif Raymond","DET","7.5","101.1","0.3","0.0","0.0","0.0","0.1","19.1"
"Juwan Johnson","NO","7.8","103.7","0.1","0.0","0.0","0.0","0.0","18.5"
"Anthony Schwartz","CLE","6.8","82.4","0.6","0.0","0.0","0.0","0.0","18.3"
"Chris Hogan","NO","6.3","84.7","0.6","0.0","0.0","0.0","0.0","18.2"
"Penny Hart","SEA","6.3","73.8","0.5","1.8","9.3","0.0","0.0","18.0"
"DaeSean Hamilton","DEN","7.3","75.2","0.5","0.0","0.0","0.0","0.0","17.7"
"Steven Sims Jr.","WAS","6.0","75.2","0.4","0.0","0.0","0.0","0.0","16.0"
"Albert Wilson","MIA","6.0","61.9","0.4","1.6","8.8","0.0","0.0","15.4"
"Nick Westbrook-Ikhine","TEN","5.3","70.4","0.4","0.0","0.0","0.0","0.0","14.8"
"Antonio Gandy-Golden","WAS","4.9","64.9","0.4","1.0","5.8","0.0","0.0","14.3"
"John Ross","NYG","4.3","56.6","0.5","0.7","3.9","0.0","0.1","13.5"
"Shi Smith","CAR","5.1","62.6","0.3","0.0","0.0","0.0","0.0","12.9"
"Jalen Hurd","SF","3.3","41.3","0.3","4.7","28.8","0.2","0.1","12.8"
"Tajae Sharpe","ATL","4.7","58.7","0.4","0.0","0.0","0.0","0.0","12.6"
"Lil'Jordan Humphrey","NO","4.2","54.7","0.3","0.0","0.0","0.0","0.0","11.7"
"Ihmir Smith-Marsette","MIN","4.6","60.7","0.1","0.0","0.0","0.0","0.0","11.4"
"Victor Bolden Jr.","DET","4.6","52.1","0.3","0.0","0.0","0.0","0.0","11.4"
"Diontae Spencer","DEN","3.6","40.2","0.2","2.4","13.6","0.1","0.0","10.8"
"Simi Fehoko","DAL","3.9","50.6","0.3","0.0","0.0","0.0","0.0","10.7"
"Jaelon Darden","TB","4.2","48.0","0.3","0.0","0.0","0.0","0.0","10.7"
"Cornell Powell","KC","3.8","48.5","0.3","0.0","0.0","0.0","0.0","10.7"
"Greg Dortch","ARI","4.1","46.9","0.3","0.0","0.0","0.0","0.0","10.3"
"Isaiah Hodgins","BUF","3.7","46.9","0.3","0.0","0.0","0.0","0.0","10.2"
"Tylan Wallace","BAL","3.5","45.7","0.3","0.0","0.0","0.0","0.0","10.1"
"Quez Watkins","PHI","3.7","48.9","0.2","0.0","0.0","0.0","0.0","10.0"
"Riley Ridley","CHI","3.8","45.4","0.3","0.0","0.0","0.0","0.0","9.9"
"Marcus Johnson","TEN","3.6","43.6","0.3","0.0","0.0","0.0","0.0","9.9"
"Chester Rogers","TEN","3.9","38.0","0.3","0.0","0.0","0.0","0.0","9.6"
"Trent Sherfield","SF","3.5","45.5","0.3","0.0","0.0","0.0","0.0","9.6"
